VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
9.5,2.1127e-05,-4.92e-13,-2.1128e-05,6.5
9.5,2.1241e-05,8.52e-13,-2.1248e-05,6.625
9.5,2.1356e-05,-8.84e-13,-2.1354e-05,6.75
9.5,2.1451e-05,-1.414e-12,-2.145e-05,6.875
9.5,2.1544e-05,1.1e-12,-2.1551e-05,7.0
9.5,2.1632e-05,2.066e-12,-2.1645e-05,7.125
9.5,2.1728e-05,-2.24e-13,-2.1734e-05,7.25
9.5,2.1813e-05,5.58e-13,-2.1813e-05,7.375
9.5,2.1888e-05,-1.09e-12,-2.1889e-05,7.5
9.5,2.1972e-05,-8.32e-13,-2.1973e-05,7.625
9.5,2.203e-05,-3.022e-12,-2.2044e-05,7.75
9.5,2.2114e-05,-1.638e-12,-2.2105e-05,7.875
9.5,2.2178e-05,-2.318e-12,-2.2184e-05,8.0
9.5,2.2254e-05,-1.106e-12,-2.2259e-05,8.125
9.5,2.2313e-05,8.4e-14,-2.2316e-05,8.25
9.5,2.2369e-05,-9.54e-13,-2.2383e-05,8.375
9.5,2.2442e-05,-1.38e-13,-2.2449e-05,8.5
9.5,2.25e-05,-2.732e-12,-2.2505e-05,8.625
9.5,2.2555e-05,4.88e-13,-2.2558e-05,8.75
9.5,2.2612e-05,-7.86e-13,-2.2614e-05,8.875
9.5,2.2667e-05,-8.98e-13,-2.267e-05,9.0
9.5,2.2732e-05,-3.22e-13,-2.272e-05,9.125
9.5,2.2764e-05,-6.04e-13,-2.2783e-05,9.25
9.5,2.2831e-05,-3.54e-13,-2.284e-05,9.375
9.5,2.2871e-05,-1.8e-12,-2.2875e-05,9.5
9.5,2.2923e-05,-1.24e-12,-2.2929e-05,9.625
9.5,2.2978e-05,-6e-14,-2.298e-05,9.75
9.5,2.303e-05,2.94e-13,-2.3027e-05,9.875
9.5,2.307e-05,-7.26e-13,-2.3074e-05,10.0
9.5,2.3072e-05,2.8e-13,-2.3087e-05,10.0
9.5,2.3047e-05,-1.846e-12,-2.3054e-05,9.875
9.5,2.3012e-05,-1.044e-12,-2.3013e-05,9.75
9.5,2.2961e-05,8.3e-13,-2.2973e-05,9.625
9.5,2.2932e-05,1.358e-12,-2.2927e-05,9.5
9.5,2.2879e-05,-1.1e-13,-2.2888e-05,9.375
9.5,2.2833e-05,-3.66e-13,-2.2833e-05,9.25
9.5,2.2782e-05,-1.84e-13,-2.2783e-05,9.125
9.5,2.2737e-05,-8.24e-13,-2.2728e-05,9.0
9.5,2.2672e-05,-1.914e-12,-2.2678e-05,8.875
9.5,2.2628e-05,5.6e-14,-2.263e-05,8.75
9.5,2.2585e-05,9.72e-13,-2.2589e-05,8.625
9.5,2.2521e-05,-2.98e-13,-2.2523e-05,8.5
9.5,2.2458e-05,-5.6e-14,-2.2462e-05,8.375
9.5,2.2399e-05,9.52e-13,-2.2398e-05,8.25
9.5,2.2334e-05,2.44e-13,-2.2337e-05,8.125
9.5,2.2275e-05,1.04e-13,-2.2281e-05,8.0
9.5,2.2196e-05,9.8e-13,-2.2206e-05,7.875
9.5,2.2137e-05,6e-13,-2.2135e-05,7.75
9.5,2.2072e-05,5.28e-13,-2.2057e-05,7.625
9.5,2.1982e-05,-5.74e-13,-2.198e-05,7.5
9.5,2.1898e-05,-1.696e-12,-2.1896e-05,7.375
9.5,2.1816e-05,9.78e-13,-2.1816e-05,7.25
9.5,2.1739e-05,1.102e-12,-2.1733e-05,7.125
9.5,2.1641e-05,-7.88e-13,-2.1643e-05,7.0
9.5,2.1542e-05,2.64e-13,-2.1547e-05,6.875
9.5,2.1449e-05,-7.22e-13,-2.145e-05,6.75
9.5,2.1342e-05,-6.02e-13,-2.1335e-05,6.625
9.5,2.1223e-05,-1.2e-14,-2.1225e-05,6.5
9.5,2.1116e-05,1.46e-13,-2.1112e-05,6.375
9.5,2.0989e-05,-1.82e-13,-2.0984e-05,6.25
9.5,2.086e-05,-9.06e-13,-2.0853e-05,6.125
9.5,2.0719e-05,-8.6e-13,-2.0716e-05,6.0
9.5,2.0566e-05,2.426e-12,-2.0562e-05,5.875
9.5,2.0415e-05,-2.9e-13,-2.0405e-05,5.75
9.5,2.0249e-05,-1.08e-12,-2.0246e-05,5.625
9.5,2.0084e-05,-3.54e-13,-2.0075e-05,5.5
9.5,1.9903e-05,4.92e-13,-1.9895e-05,5.375
9.5,1.9714e-05,-1.75e-12,-1.971e-05,5.25
