I_BG,I_S,I_D,V_BG,V_S,V_D
-9.9e-13,-3.02e-13,1.126e-12,0.271,0.0,0.1
-1.17e-12,2.072e-12,1.812e-12,0.091,0.0,0.1
-7.72e-13,-2.5e-13,1.382e-12,-0.089,0.0,0.1
-9.92e-13,7.28e-13,1.15e-12,-0.269,0.0,0.1
-1.15e-12,1.794e-12,1.584e-12,-0.449,0.0,0.1
-1.376e-12,-2.68e-13,1.114e-12,-0.629,0.0,0.1
-1.388e-12,1.29e-12,1.702e-12,-0.809,0.0,0.1
-9.1e-13,7.18e-13,1.31e-12,-0.989,0.0,0.1
-1.672e-12,1.34e-13,1.418e-12,-1.17,0.0,0.1
-6.78e-13,1.152e-12,1.908e-12,-1.35,0.0,0.1
-1.478e-12,4e-14,1.22e-12,-1.53,0.0,0.1
-1.28e-12,1.34e-12,2.172e-12,-1.71,0.0,0.1
-1.45e-12,1.38e-13,1.91e-12,-1.89,0.0,0.1
-1.346e-12,1.58e-13,1.944e-12,-2.07,0.0,0.1
